Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel,score_lesion_ajustado,score_nivel_ajustado
HARLEM EUPHORIA,63.95,No data,"negro, verde",0,4,0,0,2,0,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
VARLION LW DIFUSOR W 2021,149.95,varlion,"negro, rosa",1,4,0,0,2,1,2,0,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
DUNLOP BOOST LITE 2.0 WOMAN,109.0,black crown,"negro, azul",1,2,2,0,2,1,1,1,mixta,0.22702702702702704,0.2339181286549708,0.2951351351351352,0.304093567251462
BLACK CROWN PITON 11 2023,86.95,dunlop,rosa,1,4,1,1,1,1,2,1,mujer,0.08108108108108109,0.07017543859649124,0.2,0.2
SIUX FURTIVE PRO 2,62.95,siux,"negro, amarillo",2,4,1,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
ADIDAS ADIPOWER JUNIOR 3.3,222.95,varlion,verde,0,4,0,0,3,0,2,0,mixta,0.08108108108108109,0.42105263157894746,0.2,0.42105263157894746
MYSTICA QUICKSTART HYBRID BLUE 2024,48.95,No data,azul,2,2,1,2,1,0,1,2,mixta,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
SIUX ELECTRA ST3 LITE,229.0,siux,"negro, amarillo",2,3,0,2,2,1,2,1,hombre,0.5675675675675675,0.5321637426900585,0.5675675675675675,0.5321637426900585
DUNLOP TITAN 2.0 AMARILLA AZUL,89.95,dunlop,No data,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
RS PADEL COBRA APEX EDITION NEGRO GRIS MUJER,109.95,No data,"negro, gris",1,2,0,0,1,2,2,0,mujer,0.21621621621621623,0.07017543859649124,0.2810810810810811,0.2
SIUX PEGASUS REVOLUTION 2,349.0,siux,negro,2,2,0,3,2,0,1,2,hombre,0.5675675675675675,0.5672514619883041,0.5675675675675675,0.5672514619883041
SIUX PEGASUS 1K LIMITED EDITION,169.95,siux,negro,0,4,0,0,2,0,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
BLACK CROWN PITON ATTACK PLUS,183.95,black crown,"negro, blanco, naranja",0,4,0,0,2,2,2,0,mixta,0.13513513513513514,0.304093567251462,0.2,0.33450292397660825
RS COBRA APEX EDITION WOMEN GREEN,60.95,No data,"lima, verde",1,2,0,0,1,2,2,0,mujer,0.21621621621621623,0.07017543859649124,0.2810810810810811,0.2
BLACK CROWN SPECIAL SOFT 2023,280.0,black crown,"negro, blanco, plateado",3,4,0,0,2,2,2,3,mixta,0.4594594594594595,0.584795321637427,0.4594594594594595,0.584795321637427
STARVIE AQUILA SPACE SPEED 2.0 2023,130.95,No data,"negro, azul, verde",2,4,0,0,1,2,2,2,mixta,0.2972972972972973,0.19298245614035092,0.38648648648648654,0.2
VARLION BOURNE CARBON 2 PRISMA,127.95,varlion,"negro, gris, rosa",0,2,0,0,2,3,2,0,mixta,0.2702702702702703,0.3918128654970761,0.35135135135135137,0.43099415204678376
DUNLOP AERO-STAR LITE,150.95,dunlop,No data,3,2,0,3,1,3,2,3,hombre,0.8378378378378379,0.6491228070175439,0.6702702702702704,0.6491228070175439
DUNLOP NEMESIS CARBON,123.95,dunlop,"negro, rojo",2,4,0,0,2,2,2,0,mixta,0.21621621621621623,0.3918128654970761,0.2810810810810811,0.43099415204678376
BABOLAT AIR VIPER 2024,254.95,babolat,azul,3,2,0,2,2,0,2,3,hombre,0.6486486486486487,0.7251461988304094,0.5837837837837838,0.7251461988304094
BLACK CROWN WOLF,71.95,black crown,"negro, amarillo",1,4,1,1,1,0,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
SIUX ELECTRA ST2 CONTROL RACKET,139.95,siux,"negro, azul",1,4,0,1,2,1,2,1,hombre,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
WILSON BELA PRO PADEL 2,149.96,wilson,"negro, rojo",3,3,0,0,3,3,2,0,mixta,0.5945945945945946,0.6842105263157896,0.5945945945945946,0.6842105263157896
HEAD CHALLENGE AZUL VERDE,61.95,head,"negro, azul, verde",2,1,1,0,1,2,1,0,mixta,0.13513513513513514,0.08771929824561406,0.2,0.2
NOX AT10 GENIUS 12K BY AGUSTÍN TAPIA EX,149.95,nox,No data,3,2,0,2,2,2,2,2,hombre,0.6216216216216217,0.6549707602339182,0.5594594594594595,0.6549707602339182
HEAD CALIBRE ROSA,59.95,head,"negro, rosa",2,1,1,0,1,2,1,0,mujer,0.13513513513513514,0.08771929824561406,0.2,0.2
DUNLOP TITAN KILLER 2.0 2024,89.95,dunlop,azul,3,0,1,2,2,0,1,3,hombre,0.4864864864864865,0.6549707602339182,0.4864864864864865,0.6549707602339182
SIUX PEGASUS REVOLUTION 12K,129.95,siux,negro,2,4,0,2,2,0,1,2,hombre,0.40540540540540543,0.49707602339181295,0.40540540540540543,0.49707602339181295
HEAD GRAPHENE 360 ALPHA CONTROL,119.95,head,"negro, gris, naranja",2,1,0,0,2,2,1,2,mixta,0.21621621621621623,0.35672514619883045,0.2810810810810811,0.3923976608187135
HEAD SPEED PRO X 2023,213.95,head,"negro, azul",3,1,0,0,2,2,1,3,hombre,0.3783783783783784,0.5146198830409358,0.4162162162162163,0.5146198830409358
NOX AT10 GENIUS 12K AGUSTIN TAPIA 2024,188.95,nox,negro,2,2,0,3,2,2,2,2,mixta,0.6216216216216217,0.6374269005847953,0.5594594594594595,0.6374269005847953
NOX PACK AT GENIUS LIMITED EDITION 2024,229.95,nox,negro,2,2,0,3,2,2,2,2,hombre,0.6216216216216217,0.6374269005847953,0.5594594594594595,0.6374269005847953
SIUX VIKING III,44.95,siux,"negro, verde",0,4,1,0,1,3,1,0,hombre,0.1891891891891892,0.08771929824561406,0.2,0.2
NOX AT GENIUS ATTACK 18K AGUSTÍN TAPIA 2024,155.95,nox,negro,3,2,0,3,2,3,2,3,mixta,0.8378378378378379,0.8830409356725146,0.6702702702702704,0.8830409356725146
NOX AT10 GENIUS 18K BY AGUSTIN TAPIA EX,149.95,nox,rojo,2,2,0,2,2,2,2,2,hombre,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
NOX ML10 PRO CUP ULTRALIGHT 23,89.95,nox,"blanco, gold",1,2,1,0,1,1,1,1,mixta,0.16216216216216217,0.0,0.2,0.2
HEAD GRAPHENE 360 ALPHA TOUR,84.95,head,"negro, lima",1,1,0,0,2,2,1,0,mixta,0.05405405405405406,0.2339181286549708,0.2,0.304093567251462
HEAD GRAVITY MOTION 2022,103.95,head,"negro, azul, rosa",0,1,1,0,2,1,2,0,mixta,0.0,0.304093567251462,0.2,0.33450292397660825
BULLPADEL VERTEX 04,49.95,bullpadel,"blanco, azul",1,4,1,0,1,1,1,1,mujer,0.08108108108108109,0.0,0.2,0.2
